Date,Year,是否节假日,所处节日,产品,产品部门,品类,促销活动,折扣类型,促销渠道,促销广告类型,广告媒体名称,客户类型,客户性别,客户城市,客户所在州,客户所在区域,经销商名称,交易类型,支付方式,numeric1,numeric2,销售金额,成本金额,毛利额
1/13/2016,2016,NonHoliday,ValentinesDay,VidaSource Chocolate Chip Cookies,Food,Bakery,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,El Paso,Texas,Southwest,Ripe Warehouse,购买,Debit,-21,-42,7230,4500,2885.4
1/13/2016,2016,NonHoliday,ValentinesDay,Super-Valu Birthday Cards,Misc,Gifts,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Deerfield,Kansas,Midwest,Ripe Warehouse,购买,Debit,66,-74,3344,1104,2853.6
1/13/2016,2016,NonHoliday,ValentinesDay,EasyFind Wheechair,Medical,Medical,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Boons Camp,Kentucky,South,Ripe Warehouse,购买,Check,37,100,1788,384,2441
1/13/2016,2016,NonHoliday,ValentinesDay,SanTop Diabetes Blood Testing Kit,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Fort Knox,Kentucky,South,Ripe Warehouse,购买,Cash,61,-6,5166,3682,1548.6
1/13/2016,2016,NonHoliday,ValentinesDay,VidaSource Cold Remedy,Medical,Medical,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Akin,Illinois,Midwest,Ripe Warehouse,购买,Cash,-82,57,4732,2093,2881.9
1/13/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Hard Cider,Non-food,Liquor,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Asheville,North Carolina,South,Ripe Warehouse,购买,Credit,35,-34,5467,3069,2548.6
1/13/2016,2016,NonHoliday,ValentinesDay,SanTop Rotisserie Chicken,Food,Meat,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Elgin,Arizona,Southwest,Ripe Warehouse,购买,Credit,48,-97,957,847,1098.9
1/13/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Cholesterol Reducer,Medical,Pharmacy,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Berlin Center,Ohio,Midwest,Ripe Warehouse,购买,Credit,-6,-24,495,223,323.6
1/13/2016,2016,NonHoliday,ValentinesDay,EasyFind Green Peppers,Food,Produce,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Asheville,North Carolina,South,Ripe Warehouse,购买,Other,-23,-37,1400,1280,233.9
1/13/2016,2016,NonHoliday,ValentinesDay,Mother's Choice Blood Pressure Medicine,Medical,Pharmacy,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Tucson,Arizona,Southwest,Ripe Warehouse,购买,Credit,28,-12,225,10,257.4
1/13/2016,2016,NonHoliday,ValentinesDay,TopQuality Bacon,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Glendale,Arizona,Southwest,Ripe Warehouse,购买,Debit,-73,-100,1490,470,1947
1/13/2016,2016,NonHoliday,ValentinesDay,ValueMart Analog Camera,Misc,Photography,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,North Charleston,South Carolina,South,Ripe Warehouse,购买,Credit,-46,-17,1098,264,816.9
1/13/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Photo Albums,Misc,Photography,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Orange,California,West,Ripe Warehouse,购买,Credit,92,14,4617,2187,2541.6
1/13/2016,2016,NonHoliday,ValentinesDay,Pam's Club Tuna,Food,Seafood,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Phoenix,Arizona,Southwest,Ripe Warehouse,购买,Credit,33,34,1902,1452,598.6
1/13/2016,2016,NonHoliday,ValentinesDay,Pam's Club Stuffed Animal,Misc,Gifts,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Arlington,Texas,Southwest,Ripe Warehouse,购买,Credit,87,14,1998,450,1654.6
1/13/2016,2016,NonHoliday,ValentinesDay,EasyFind Dish Soap,Non-food,Cleaning Supplies,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Coushatta,Louisiana,South,Ripe Warehouse,购买,Credit,75,45,240,70,447.5
1/13/2016,2016,NonHoliday,ValentinesDay,TopQuality Football,Misc,Gifts,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Clovis,California,West,Ripe Warehouse,购买,Credit,-7,-77,1912,1600,897.9
1/13/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Hard Cider,Non-food,Liquor,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Garland,Texas,Southwest,Ripe Warehouse,购买,Cash,-77,65,4473,2511,2307.5
1/13/2016,2016,NonHoliday,ValentinesDay,Super-Valu Red Peppers,Food,Produce,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Lamesa,Texas,Southwest,Ripe Warehouse,购买,Cash,9,73,4320,1520,3341.9
1/13/2016,2016,NonHoliday,ValentinesDay,VidaSource Tenderloin,Food,Meat,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Cambridge,Maryland,East,Ripe Warehouse,购买,Credit,-46,50,393,186,411
1/13/2016,2016,NonHoliday,ValentinesDay,ValueMart Frozen French Fries,Food,Frozen Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Bonduel,Wisconsin,Midwest,Ripe Warehouse,购买,Credit,40,-63,3101,1456,2081.9
1/13/2016,2016,NonHoliday,ValentinesDay,Pam's Club Haddock,Food,Seafood,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Fresno,California,West,Ripe Warehouse,购买,Cash,35,-55,1182,288,1231.5
1/13/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Frozen Pizza,Food,Frozen Goods,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Anthon,Iowa,Midwest,Ripe Warehouse,购买,Credit,-5,-75,5895,2835,3617.5
1/13/2016,2016,NonHoliday,ValentinesDay,Super-Valu Butter,Food,Dairy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Rio Rancho,New Mexico,Southwest,Ripe Warehouse,购买,Cash,-39,26,1440,140,1328.6
1/13/2016,2016,NonHoliday,ValentinesDay,Super-Valu Red Peppers,Food,Produce,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Corryton,Tennessee,South,Ripe Warehouse,购买,Credit,37,60,3888,1368,2917
1/13/2016,2016,NonHoliday,ValentinesDay,Super-Valu Squash,Food,Produce,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Grass Range,Montana,West,Ripe Warehouse,购买,Cash,7,-69,4640,2784,2339.1
1/13/2016,2016,NonHoliday,ValentinesDay,TopQuality Frozen Juice,Food,Frozen Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Indianapolis,Indiana,Midwest,Ripe Warehouse,购买,Credit,-40,-89,2464,216,3000.1
1/15/2016,2016,NonHoliday,ValentinesDay,BestPrice Cantaloupe,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Falls Church,Virginia,East,Ripe Warehouse,购买,Credit,69,85,2430,999,2222.5
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Allergy Pills,Medical,Pharmacy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Chula Vista,California,West,Ripe Warehouse,购买,Credit,80,-79,6734,4172,3266.1
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Ipa,Non-food,Liquor,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Baker,West Virginia,South,Ripe Warehouse,Return,Credit,11,49,-6270,-4290,-1728.9
1/15/2016,2016,NonHoliday,ValentinesDay,ValueMart Strawberry Ice Cream,Food,Frozen Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Ford,Kentucky,South,Ripe Warehouse,购买,Debit,69,45,7038,3621,3688.5
1/15/2016,2016,NonHoliday,ValentinesDay,Super-Valu Butter,Food,Dairy,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,San Luis Obispo,California,West,Ripe Warehouse,购买,Check,14,-2,144,14,144.4
1/15/2016,2016,NonHoliday,ValentinesDay,Pam's Club Ice Cream Sandwhiches,Food,Frozen Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Redlands,California,West,Ripe Warehouse,购买,Cash,-7,-52,1666,1428,501.4
1/15/2016,2016,NonHoliday,ValentinesDay,BestPrice Chicken Noodle Soup,Food,Canned Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Burnsville,West Virginia,South,Ripe Warehouse,购买,Debit,-5,-52,2345,567,2043.4
1/15/2016,2016,NonHoliday,ValentinesDay,Pam's Club White Bread,Food,Bakery,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Independence,West Virginia,South,Ripe Warehouse,购买,Cash,-84,18,2176,988,1136.4
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Nicotine Gum,Medical,Pharmacy,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Tustin,California,West,Ripe Warehouse,购买,Cash,60,-61,6612,3408,3636.1
1/15/2016,2016,NonHoliday,ValentinesDay,Pam's Club Kidney Beans,Food,Canned Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Alleman,Iowa,Midwest,Ripe Warehouse,购买,Debit,29,27,3570,1620,2051.9
1/15/2016,2016,NonHoliday,ValentinesDay,ValueMart Frozen Pizza,Food,Frozen Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Berlin Center,Ohio,Midwest,Ripe Warehouse,购买,Debit,-91,96,2520,720,2630.6
1/15/2016,2016,NonHoliday,ValentinesDay,Super-Valu Canned Chicken Broth,Food,Canned Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Bovina,Texas,Southwest,Ripe Warehouse,购买,Credit,-29,86,1302,330,1682.6
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Bratwurst,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Nashville,Tennessee,South,Ripe Warehouse,购买,Credit,-2,11,1305,555,760.1
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Tenderloin,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Tulsa,Oklahoma,Southwest,Ripe Warehouse,购买,Cash,35,17,1190,1155,98.9
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Football,Misc,Gifts,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,North Judson,Indiana,Midwest,Ripe Warehouse,购买,Cash,-14,26,1673,1400,326.6
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Scallops,Food,Seafood,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,San Jose,California,West,Ripe Warehouse,购买,Credit,73,-76,1014,666,998.6
1/15/2016,2016,NonHoliday,ValentinesDay,Portland's Best Asthma Inhaler,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Boston,Massachusetts,East,Ripe Warehouse,购买,Debit,-85,97,1778,84,2549.9
1/15/2016,2016,NonHoliday,ValentinesDay,BestPrice Mezcal,Non-food,Liquor,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Lamont,Florida,South,Ripe Warehouse,购买,Credit,47,-99,6292,3133,4186.1
1/15/2016,2016,NonHoliday,ValentinesDay,JoyDeal Tv Dinner,Food,Frozen Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Houston,Texas,Southwest,Ripe Warehouse,购买,Debit,-80,18,3910,493,3369.4
1/15/2016,2016,NonHoliday,ValentinesDay,VidaSource Chocolate Chip Cookies,Food,Bakery,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Corryton,Tennessee,South,Ripe Warehouse,购买,Credit,53,57,3374,2100,1651.9
1/15/2016,2016,NonHoliday,ValentinesDay,Super-Valu Thermometer,Medical,Medical,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Upland,California,West,Ripe Warehouse,购买,Other,-22,50,1920,1845,303
1/15/2016,2016,NonHoliday,ValentinesDay,VidaSource Chocolate Chip Cookies,Food,Bakery,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Fort Worth,Texas,Southwest,Ripe Warehouse,购买,Credit,41,55,3185,2314,1214.5
1/15/2016,2016,NonHoliday,ValentinesDay,DealZone Chicken Wings,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Wilmington,North Carolina,South,Ripe Warehouse,购买,Credit,-56,-42,3159,954,2325.4
1/15/2016,2016,NonHoliday,ValentinesDay,Pam's Club Telephoto Lens,Misc,Photography,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Boston,Massachusetts,East,Ripe Warehouse,购买,Other,51,0,1302,266,1087
1/15/2016,2016,NonHoliday,ValentinesDay,JoyDeal Ground Beef,Food,Meat,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Laguna Niguel,California,West,Ripe Warehouse,购买,Credit,7,8,5440,2192,3261.4
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Frozen Pizza,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Mendon,Missouri,Midwest,Ripe Warehouse,购买,Credit,29,73,6681,3213,4029.9
1/15/2016,2016,NonHoliday,ValentinesDay,DealZone Cheddar Cheese,Food,Dairy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,女性,Philadelphia,Pennsylvania,East,Ripe Warehouse,购买,Credit,31,37,3924,1413,2678.9
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Picture Frames,Misc,Photography,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Charles City,Virginia,East,Ripe Warehouse,购买,Credit,-48,-10,7575,3855,3682
1/15/2016,2016,NonHoliday,ValentinesDay,SanTop Rotisserie Chicken,Food,Meat,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Bogue,Kansas,Midwest,Ripe Warehouse,购买,Credit,95,49,1044,924,455.1
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Hard Cider,Non-food,Liquor,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Bowman,South Carolina,South,Ripe Warehouse,购买,Credit,-81,-28,2485,1395,1087.4
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Strawberry Ice Cream,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Ashley,North Dakota,Midwest,Ripe Warehouse,购买,Credit,-70,62,814,352,776.4
1/15/2016,2016,NonHoliday,ValentinesDay,Pam's Club Ice Cream Sandwhiches,Food,Frozen Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Adolphus,Kentucky,South,Ripe Warehouse,购买,Debit,16,53,4284,3672,908.9
1/15/2016,2016,NonHoliday,ValentinesDay,ValueMart Rubber Gloves,Non-food,Cleaning Supplies,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,San Diego,California,West,Ripe Warehouse,购买,Credit,32,44,6340,2160,4405.6
1/15/2016,2016,NonHoliday,ValentinesDay,JoyDeal Cinnamon Buns,Food,Bakery,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Oshkosh,Wisconsin,Midwest,Ripe Warehouse,购买,Credit,-38,13,4572,1917,2633.9
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Canned Olives,Food,Canned Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Indianapolis,Indiana,Midwest,Ripe Warehouse,购买,Credit,57,60,395,206,606
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Tv Dinner,Food,Frozen Goods,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Waterbury,Connecticut,East,Ripe Warehouse,购买,Credit,41,-48,2550,1326,1495.4
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Ipa,Non-food,Liquor,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Asheville,North Carolina,South,Ripe Warehouse,购买,Credit,13,-85,2090,1430,1395.5
1/15/2016,2016,NonHoliday,ValentinesDay,VidaSource Stuffed Animal,Misc,Gifts,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Bristow,Oklahoma,Southwest,Ripe Warehouse,购买,Other,-31,38,4998,1204,3907.4
1/15/2016,2016,NonHoliday,ValentinesDay,Mother's Choice Starch,Non-food,Cleaning Supplies,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Independence,West Virginia,South,Ripe Warehouse,购买,Credit,-81,3,2760,2240,439.9
1/15/2016,2016,NonHoliday,ValentinesDay,BestPrice Adapters,Misc,Photography,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,男性,Albany,Vermont,East,Ripe Warehouse,购买,Debit,-71,32,3157,1672,1516.4
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Tuna,Food,Seafood,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Hoover,Alabama,South,Ripe Warehouse,购买,Cash,-8,-23,4329,2502,1871.9
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Hamburger Buns,Food,Bakery,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,公司,0,Bakersfield,California,West,Ripe Warehouse,购买,Other,85,50,356,200,491
1/15/2016,2016,NonHoliday,ValentinesDay,VidaSource Canned Tuna,Food,Canned Goods,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Boston,Massachusetts,East,Ripe Warehouse,购买,Cash,-79,-13,1647,1431,153.9
1/15/2016,2016,NonHoliday,ValentinesDay,Mother's Choice First Aid Kit,Medical,Medical,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Spokane Valley,Washington,West,Ripe Warehouse,购买,Debit,58,-37,2800,1376,1618.9
1/15/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Decongestant,Medical,Pharmacy,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Alta Vista,Iowa,Midwest,Ripe Warehouse,购买,Credit,22,-40,2639,721,2100
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Frozen Juice,Food,Frozen Goods,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Big Timber,Montana,West,Ripe Warehouse,购买,Debit,76,-66,4004,351,4164.6
1/15/2016,2016,NonHoliday,ValentinesDay,BestPrice Mezcal,Non-food,Liquor,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,San Jose,California,West,Ripe Warehouse,购买,Debit,0,45,8228,4097,4333.5
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Frozen French Fries,Food,Frozen Goods,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Pasadena,Texas,Southwest,Ripe Warehouse,购买,Credit,-78,-60,5474,3780,1976
1/15/2016,2016,NonHoliday,ValentinesDay,Super-Valu Analog Camera,Misc,Photography,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Avalon,New Jersey,East,Ripe Warehouse,Return,Debit,-53,66,-2500,-550,-1567.4
1/15/2016,2016,NonHoliday,ValentinesDay,Mother's Choice Chicken Nuggets,Food,Meat,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Brookport,Illinois,Midwest,Ripe Warehouse,购买,Debit,-79,87,2044,1351,1370.9
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Bratwurst,Food,Meat,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Louisville,Kentucky,South,Ripe Warehouse,购买,Cash,-70,57,2610,1110,1754.9
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Dish Soap,Non-food,Cleaning Supplies,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Brighton,Michigan,Midwest,Ripe Warehouse,购买,Credit,-65,8,8920,4600,4261.4
1/15/2016,2016,NonHoliday,ValentinesDay,Portland's Best Tenderloin,Food,Meat,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Coalville,Utah,Southwest,Ripe Warehouse,购买,Credit,55,43,780,489,530.9
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Canned Chicken Broth,Food,Canned Goods,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Grand River,Ohio,Midwest,Ripe Warehouse,购买,Credit,-1,40,5445,2486,3118
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Potatoes,Food,Produce,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Fort Worth,Texas,Southwest,Ripe Warehouse,购买,Debit,25,59,421,136,658.1
1/15/2016,2016,NonHoliday,ValentinesDay,Portland's Best Tenderloin,Food,Meat,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Clovis,California,West,Ripe Warehouse,购买,Credit,72,-97,1820,1141,1691.9
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Frozen French Fries,Food,Frozen Goods,Winter Discount Sellathon,Half Price,Radio,30 seconds,Superbowl Spot,个人,男性,Independence,West Virginia,South,Ripe Warehouse,购买,Cash,10,-91,1173,810,1201.1
1/15/2016,2016,NonHoliday,ValentinesDay,Trader Jon's Photo Albums,Misc,Photography,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,公司,0,Rochester,New York,East,Ripe Warehouse,购买,Other,-12,-63,10773,5103,6054.9
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Tv Dinner,Food,Frozen Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Bryantsville,Kentucky,South,Ripe Warehouse,购买,Credit,-55,-42,1650,858,913.4
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Box Of Candy,Misc,Gifts,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,男性,Fort Myers,Florida,South,Ripe Warehouse,购买,Check,-20,82,2055,1695,1012.4
1/15/2016,2016,NonHoliday,ValentinesDay,TopQuality Steak,Food,Meat,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Columbia,North Carolina,South,Ripe Warehouse,购买,Credit,-91,64,285,49,554.6
1/15/2016,2016,NonHoliday,ValentinesDay,ValueMart Frozen French Fries,Food,Frozen Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Pasadena,Texas,Southwest,Ripe Warehouse,购买,Cash,-28,-31,11075,5200,5943.1
1/15/2016,2016,NonHoliday,ValentinesDay,Portland's Best Tenderloin,Food,Meat,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Antwerp,Ohio,Midwest,Ripe Warehouse,购买,Cash,71,9,3900,2445,1534.1
1/15/2016,2016,NonHoliday,ValentinesDay,VidaSource Cold Remedy,Medical,Medical,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,女性,Laguna Niguel,California,West,Ripe Warehouse,购买,Other,-89,-25,3276,1449,1800.5
1/15/2016,2016,NonHoliday,ValentinesDay,JoyDeal Ground Beef,Food,Meat,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,男性,Big Timber,Montana,West,Ripe Warehouse,购买,Credit,19,-95,1360,548,1733.5
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Green Peppers,Food,Produce,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Bergland,Michigan,Midwest,Ripe Warehouse,购买,Cash,58,-43,4200,3840,602.9
1/15/2016,2016,NonHoliday,ValentinesDay,Mother's Choice Blood Pressure Medicine,Medical,Pharmacy,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,男性,Paulina,Oregon,West,Ripe Warehouse,购买,Credit,-94,-10,450,20,346
1/15/2016,2016,NonHoliday,ValentinesDay,SanTop Rye,Non-food,Liquor,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Louisville,Kentucky,South,Ripe Warehouse,购买,Debit,96,-19,3108,1776,1464.1
1/15/2016,2016,NonHoliday,ValentinesDay,EasyFind Green Peppers,Food,Produce,Winter Discount Promotion,20-50 percent off,Coupon,30 seconds,Boston Globe,个人,男性,Bonduel,Wisconsin,Midwest,Ripe Warehouse,购买,Credit,-92,90,3920,3584,1054
1/17/2016,2016,NonHoliday,ValentinesDay,SimpleBuy Canned Olives,Food,Canned Goods,July 4th Discount Sale,20-50 percent off,Billboard,Fullpage,Boston Globe,个人,女性,Las Vegas,Nevada,West,Ripe Warehouse,购买,Debit,73,-15,920,320,695.5
1/17/2016,2016,NonHoliday,ValentinesDay,SanTop Air Freshener,Non-food,Cleaning Supplies,Christmas Liquidation Promotion,20-50 percent off,Coupon,1 minute,Boston Globe,个人,女性,Elizabeth,New Jersey,East,Ripe Warehouse,购买,Cash,54,12,5535,2490,3113.4
1/17/2016,2016,NonHoliday,ValentinesDay,Mother's Choice French Bread,Food,Bakery,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Port St. Lucie,Florida,South,Ripe Warehouse,购买,Debit,100,1,3670,690,3080.1
1/17/2016,2016,NonHoliday,ValentinesDay,EasyFind Scallops,Food,Seafood,Thanksgiving Liquidation Sale,3 for price of 2,Online,1 minute,Boston Globe,个人,女性,Hodges,Alabama,South,Ripe Warehouse,购买,Credit,62,29,845,555,436.1
1/17/2016,2016,NonHoliday,ValentinesDay,EasyFind Wheechair,Medical,Medical,July 4th Discount Promotion,20-50 percent off,Radio,Halfpage,Boston Globe,个人,女性,Midway,Texas,Southwest,Ripe Warehouse,购买,Debit,32,-7,149,32,153.9
